abstract,author,n_cited,n_reference,paper,title,year
"We study the Imbert-Fedorov (IF) shifts of a reflected Gaussian beam from anisotropic topological insulators (TIs). Aiming, respectively, at the two types of TI surface perturbations that can alter the surface optical properties, i.e., a magnetic coating and an applied magnetic field, we discuss the dependences of the IF shifts on the axion field, the TI's extent of anisotropy, the angle of incidence and the applied magnetic field. For a left-elliptically polarized incident beam, a positive (negative) axion field can lead to the decrease (increase) of the IF shifts relative to a conventional insulator in the magnetic coating case, and in the applied magnetic field case, the crossover of the IF shifts between the positive and the negative values can be realized by adjusting some external parameters. Also, the properties of the IF shifts are discussed for linearly and circularly-polarized incident beams. The results show that TI might be a desirable candidate for controlling flexibly the IF shifts. (C) 2012 Elsevier B.V. All rights reserved.","Xu, GD; Sun, J; Zang, TC; Mao, HM; Pan, T",1,30,OPTICS COMMUNICATIONS,Imbert-Fedorov shifts of a Gaussian beam reflected from anisotropic topological insulators,2013
"For total reflection, the Goos-Hanchen (GH) shift is proportional to the wavelength of the laser beam. At critical angles, such a shift is instead proportional to the square root of the product of the beam waist and wavelength. By using the stationary phase method (SPM) and, when necessary, numerical calculations, we present a detailed analysis of the frequency crossover for the GH shift. The study, done in different incidence regions, sheds new light on the validity of the analytic formulas found in literature.","Araujo, MP; Carvalho, SA; De Leo, S",7,40,JOURNAL OF MODERN OPTICS,The frequency crossover for the Goos-Hanchen shift,2013
"We realize tunable giant Goos-Hanchen (GH) shift by adjusting the applied electric field on electro-optic (EO) crystal in a prism-waveguide system in which surface plasmon resonance (SPR) is excited by left-handed material (LHM), and in such a way the giant GH shift can be modulated with high flexibility. Necessary theoretical analysis is given by stationary-phase theory and simulation results illustrate the high sensitivity of tunable giant GH shift which has potential applications in integrated optics, optical sensors and optical modulators. (C) 2013 Elsevier GmbH. All rights reserved.","Tang, TT",1,11,OPTIK,Electrical control of giant lateral shift based on surface plasmon resonance excited by left-handed material,2013
"On scattering, the high strength singularity of a vortex beam breaks into a configuration of single charge vortices. The precise geometry of such a vortex constellation depends on the angle of incidence and the material properties of the scatterer, but also on the optical spin-orbit coupling as choosing different input and output polarization results in a family of vortex constellation. Measuring the position of the individual vortices allows us to reconstruct elements in an systematic expansion of the scattering matrix, in an analogy to optical aberration theory. We discuss in detail the dependence of the constellation geometry on external parameters, which is the basis for an optical metrology based on vortices.","Gotte, JB; Dennis, MR",3,39,SPINTRONICS VI,Spin-orbit interactions in vortex singularimetry,2013
"Controllable Goos-Hanchen shift of a light beam reflected from the colloidal ferrofluids is investigated by using the stationary-phase method. It is found that the Goos-Hanchen shift can be easily controlled by the local H, factor and the volume factor. Using this scheme, the peak value, the peak position and the width of the Goos-Hanchen shift can all be controlled by adjusting the external magnetic field for a fixed configuration, which also provides a possibility for obtaining larger negative Goos-Hanchen shift by changing the external controlling field. Our results have potential applications in optical devices. (C) 2013 Elsevier GmbH. All rights reserved.","Zhang, Y; Wu, JP; Zhao, L; Fu, MS; Dai, XY",1,28,OPTIK,Goos-Hanchen shifts of a light beam reflected from the interface of colloidal ferrofluids,2013
"When surface plasmon resonance is excited in Kretschmann configuration, the maximum Goos-Hanchen shift occurs at the resonant angle which is associated with the minimum value of reflectivity, but the maximum angular shift occurs at two incident angles beside the resonant angle. When the reflected beam is detected at Rayleigh range, the maximum net lateral shift of the reflected beam does not encounter the resonant angle and its magnitude is lager than that of Goos-Hanchen shift. Numerical simulation shows that theory agrees well with numerical results when the beam width is large enough. (c) 2013 Elsevier GmbH. All rights reserved.","Liu, XM; Yang, QF; Zhu, PF; Zhang, YL; Shi, Y",0,22,OPTIK,Net lateral shift of reflected beam due to surface plasmon resonance in Kretschmann configuration,2013
"Due to their very high integration density, echelle grating spectrometers based on silicon nanophotonic platforms have received great attention for their applications in many areas, such as optical sensors, optical communications, and optical interconnections. The design of echelle gratings requires an effective modeling and simulation technique. Though we have used a boundary integral method to accurately analyze the polarization-dependent performance of the echelle grating, it is complicated and time-consuming for the simulation due to its large size and aperiodic structure. In the present paper, we will present a faster simulation method for the grating with twice total internal reflection facets based on a modified Kirchhoff-Huygens principle with the influence of the Goos-Hanchen shift considered. On the one hand, the presented simulation results agree well with our previous results obtained by the boundary integral method when the shift can accurately be calculated using a FDTD method. On the other hand, the biggest advantage of the new method over the existing methods is that it can also provide an insightful physical explanation for many numerical results. Finally, we will effectively apply the present method to design an on-chip spectrometer with very low noise floor.","Song, J; Chen, LC; Li, BJ",3,29,PROGRESS IN ELECTROMAGNETICS RESEARCH-PIER,A FAST SIMULATION METHOD OF SILICON NANOPHOTONIC ECHELLE GRATINGS AND ITS APPLICATIONS IN THE DESIGN OF ON-CHIP SPECTROMETERS,2013
"We study the electromagnetic surface waves, the so-called Tamm states, and Gaussian beam reflection from a semi-infinite one-dimensional photonic crystal made of right-handed materials. We show that such layered structures can demonstrate a giant lateral Goos-Hanchen shift of the scattered beam accompanied by a splitting of the reflected and transmitted beams due to the resonant excitation of surface waves at the interfaces between the left-handed metamaterial and photonic crystal. The beam shift can be either positive or negative, depending on the type of the surface waves (forward or backward) excited by the incoming beam. Also, to make our predictions more realistic, we study the effect of losses on the lateral Goos-Hanchen shift. (C) 2012 Elsevier GmbH. All rights reserved.","Talebzadeh, R; Namdar, A",2,20,OPTIK,Lateral shifts of a Gaussian beam reflected from lossy layered structure,2013
"This paper first time observed, designed and simulated the surface plasmon enhanced tunable Goos-Hanchen shift with varying refractive index of the dielectric layer in Kretschmann-Reather geometry formed by a ZeSe prism, 50 nm silver layer, 4.5 mu m liquid crystal layer (as dielectric layer) and 200 nm thin silver layer. Here the Goos-Hanchen shift is tuned from (10-72) nm with the change in refractive index of the liquid crystal layer with varying applied voltage.","Ghosh, A; Goswami, N; Saha, A",0,9,PROCEEDING OF INTERNATIONAL CONFERENCE ON RECENT TRENDS IN APPLIED PHYSICS & MATERIAL SCIENCE (RAM 2013),Long Range Surface Plasmon Enhanced Tunable Goos-Hanchen Shift in ZnSe Prism,2013
"A detailed study on Goos-Hanchen (GH) lateral displacements of the reflected and transmitted waves propagating at the interface between an isotropic medium and a gyroelectric medium in Voigt configuration is presented. After the reflection coefficient and transmission coefficient are derived, based on the stationary phase approach, GH lateral displacements are obtained analytically. The numerical results for a specific gyroelectric medium are also given. It shows that with the existence of an applied magnetic field, the GH effect occurs not only during total reflection but also during nontotal reflection, which is not true for isotropic media. Moreover, due to the nonreciprocal property of the gyroelectric medium, the sign of the incident angle also influences the displacements. Finite-element method simulations have verified the theoretical results.","Wang, JB; Huang, H; Chen, C; He, HF; Dong, YY; Qi, H",1,41,INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION,Goos-Hanchen Lateral Displacements at the Interface between Isotropic and Gyroelectric Media,2013
"We consider reflection and transmission of polarized paraxial light beams at a plane dielectric interface. The field transformations taking into account a finite beam width are described based on the plane-wave representation and geometric rotations. Using geometrical-optics coordinate frames accompanying the beams, we construct an effective Jones matrix characterizing spatial-dispersion properties of the interface. This results in a unified self-consistent description of the Goos-Hanchen and Imbert-Fedorov shifts (the latter being also known as the spin Hall effect of light). Our description reveals the intimate relation of the transverse Imbert-Fedorov shift to the geometric phases between constituent waves in the beam spectrum and to the angular momentum conservation for the whole beam. Both spatial and angular shifts are considered as well as their analogues for higher-order vortex beams carrying intrinsic orbital angular momentum. We also give a brief overview of various extensions and generalizations of the basic beam-shift phenomena and related effects.","Bliokh, KY; Aiello, A",121,172,JOURNAL OF OPTICS,Goos-Hanchen and Imbert-Fedorov beam shifts: an overview,2013
"Following Hans Wolter's treatment of the spatial Goos-Hanchen shift of a totally internally reflected light beam by the superposition of two plane waves, polarized perpendicular to the plane of incidence, we consider the reflection and refraction of several similar pairs of plane waves, with varying geometry and incident polarization. We consider explicitly the partial reflection analogue and the in-plane polarized analogue to Wolter's example, as well as a pair of plane waves propagating slightly out of their mutual plane of incidence, revealing the transverse, Imbert-Fedorov shift. We find these simple cases have a complicated polarization structure, with a range of polarization singularities and complex orbital and spin current flows, generalizing Wolter's discovery of an optical vortex and circulating energy flow at the heart of the net scalar interference pattern.","Dennis, MR; Gotte, JB",11,36,JOURNAL OF OPTICS,Beam shifts for pairs of plane waves,2013
"The process of reflection and transmission of a paraxial wavepacket at a plane interface of two isotropic transparent media is considered. The transverse force (TF), i.e., the force perpendicular to the plane of incidence, exerted by the medium on the field in the course of this process is investigated. It is shown that the TF under investigation can be identified as the reverse Abraham TF. The relations between this force and the transverse shifts (TSs) of the centers of gravity of the reflected and transmitted light beams are established. It is argued that the detection of linear and angular TSs means the determination of the respective TFs. On the basis of the aforementioned relations, the analytical expression for the TF associated with the linear TSs has been obtained, which shows that this TF is a fundamental feature of the transformation of the beam's intrinsic angular momentum at the interface.","Fedoseyev, VG",3,51,JOURNAL OF OPTICS,Transverse forces related to the transverse shifts of reflected and transmitted light beams,2013
"The law of reflection and Snell's law are among the tenets of geometrical optics. Corrections to these laws in wave optics are respectively known as the angular Goos-Hanchen shift and Fresnel filtering. In this paper we give a positive answer to the question of whether the two effects are common in nature and we study both effects in the more general context of optical beam shifts. We find that both effects are caused by the same principle, but have been defined differently. We identify and discuss the similarities and differences that arise from the different definitions.","Gotte, JB; Shinohara, S; Hentschel, M",12,27,JOURNAL OF OPTICS,Are Fresnel filtering and the angular Goos-Hanchen shift the same?,2013
"We examine the effects of curvature on the far-field emission properties of deformed optical microcavities. These quasi-two-dimensional systems, where light confinement is due to total internal reflection, are characterized by a curved dielectric interface. Deformation causes the curvature to vary along the system boundary, which directly affects the curvature-dependent Goos-Hanchen shift and consequently the ray dynamics in the microcavity. We discuss the resulting modifications in the far-field characteristics as a function of wavenumber and radius of curvature by means of a concrete example.","Kotik, D; Hentschel, M",3,30,JOURNAL OF OPTICS,How curvature affects the far-field emission from deformed optical microcavities,2013
"We investigate how beams with orbital angular momentum (OAM) behave under total internal reflection. This is studied in two complementary experiments: in the first experiment, we study geometric shifts of OAM beams upon total internal reflection (Goos-Hanchen and Imbert-Fedorov shifts, for each the spatial and angular variant), and in the second experiment we determine changes in the OAM mode spectrum of a beam, again upon total internal reflection. As a result we find that, in the first case, the shifts are independent of OAM and beam focusing, while in the second case, modifications in the OAM spectrum occur which depend on the input OAM mode as well as on the beam focusing. This is investigated by experiment and theory. We also show how the two methods, beam shifts on the one hand, and OAM spectrum changes on the other, are related theoretically.","Loffler, W; Hermosa, N; Aiello, A; Woerdman, JP",2,19,JOURNAL OF OPTICS,Total internal reflection of orbital angular momentum beams,2013
"We discuss possible beam shifts on external reflection of electromagnetic radiation off an anisotropic crystal around its optic phonon frequencies. In certain situations, these displacements may oppose the energy flow within the crystal. We show examples for reflection off crystal quartz in various configurations. Displacements of the order of a wavelength should occur with significant reflected intensity.","Macedo, R; Dumelow, T",8,29,JOURNAL OF OPTICS,Beam shifts on reflection of electromagnetic radiation off anisotropic crystals at optic phonon frequencies,2013
"We present precise expressions for the spatial and angular Goos-Hanchen and Imbert-Fedorov shifts experienced by a longitudinally and transversally limited beam of light (wavepacket) upon reflection from a dielectric interface, as opposed to the well-known case of a monochromatic beam which is bounded in transverse directions but infinitely extended along the direction of propagation. This is done under the assumption that the detector time is longer than the temporal length of the wavepacket (wavepacket regime). Our results will be applied to the case of a Gaussian wavepacket and show that, at the leading order in the Taylor expansion of reflected field amplitudes, the results are the same as in the monochromatic case.","Ornigotti, M; Aiello, A",21,33,JOURNAL OF OPTICS,Goos-Hanchen and Imbert-Fedorov shifts for bounded wavepackets of light,2013
"The influence of polarization of a light beam on its geometrical characteristics at propagation in a two-dimensional isotropic graded-index medium using the methods of coherent states is investigated. In a paraxial approximation taking into account the second order terms in a vector wave equation, the expressions for the trajectory and width of linearly and circularly polarized radiation are obtained. It is shown that the circular polarization leads to the rotation of the propagation plane of the meridional rays and additional rotation of sagittal rays, depending on the axial shift of the incident beam. Both circular and linear polarizations result in oscillations of the width of a light beam propagating in a graded-index fiber. In the case of linearly polarized light, the initially symmetric beam becomes elliptical with broadening in the direction of the polarization plane. Beam shifts or corrections with respect to geometrical optics caused by the scalar (nonparaxiality) and vector (polarization) wave effects are investigated.","Petrov, NI",1,27,JOURNAL OF OPTICS,Beam shift in a graded-index optical fiber,2013
"Laguerre-Gaussian (LG) beams with a radial mode index p = 0 and azimuthal mode indices l from -5 to 5 are reflected at a glass-air interface near critical incidence, and the transverse lateral and longitudinal angular shifts of the intensity center of gravity are measured relative to the LG(p=0,l=0) beam. The LG beams are generated with a programmable spatial light modulator that displays computer-generated holograms encoding phase and amplitude information. The measured relative shifts are greatly enhanced near the critical angle and agree with the theoretical values numerically calculated using the wavenumber-space representation.","Sato, M; Sasada, H",1,18,JOURNAL OF OPTICS,Measurements of transverse lateral and longitudinal angular shifts of high-azimuthal-mode Laguerre-Gaussian beams reflected at a dielectric interface near critical incidence,2013
"A reflection-type space-division optical switch is theoretically proposed and experimentally demonstrated based on the electrically tuned Goos-Hanchen effect in a symmetrical metal-cladding waveguide which employs the PMN-PT ceramics as the guiding layer. Owing to the high sensitivity of the ultrahigh-order modes, the variation of refractive index and thickness induced by the exertion of the controlled voltage on the PMN-PT ceramics will easily give rise to a change in the position of the reflected light. In the experiment, a three-pinhole array is put in the reflected light path and a one-to-three optical switch is achieved. The switching time for 10%-90% light intensity change and the optical crosstalk are measured to be lower than 1.63 mu s and -29 dB, respectively. Since the Goos-Hanchen shift can reach approximately 1 mm, the number of output ports can be further increased on condition that the utilized incident light has a smaller spot diameter.","Wang, XP; Yin, C; Sun, JJ; Gao, J; Huang, MZ; Cao, ZQ",7,32,JOURNAL OF OPTICS,Reflection-type space-division optical switch based on the electrically tuned Goos-Hanchen effect,2013
"The majority of natural sources (black-bodies, fluorescent bulbs, etc) generate completely un-polarized light; the majority of detectors (eyes, photo-cameras, photomultipliers, etc) are polarization-insensitive. To reflect this, we attempt to describe approximately electromagnetic waves without polarization. Corresponding scalar equations are non-trivial modifications of standard d'Alembert and Helmholtz equations to the case of spatially inhomogeneous propagation speed nu(r) = 1/root epsilon(r)mu(r). A description of Fresnel reflection (FR) and Goos-Hanchen shift for total internal reflection phenomena is given on the basis of these modified equations.","Zeldovich, BY; Tsai, CC",1,25,JOURNAL OF OPTICS,An electromagnetic world without polarization,2013
,"Merano, M; Umbiraco, G; Mistura, G",0,3,2013 CONFERENCE ON AND INTERNATIONAL QUANTUM ELECTRONICS CONFERENCE LASERS AND ELECTRO-OPTICS EUROPE (CLEO EUROPE/IQEC),Role of spatial coherence in the Goos-Hanchen shift.,2013
"It is well known from quantum physics that weak measurements offers a platform of amplifying and detecting very small signals. In this letter, we present the first experimental observation of the Goos-Hanchen shift.","Jayaswal, G; Mistura, G; Merano, M",0,6,2013 CONFERENCE ON LASERS AND ELECTRO-OPTICS (CLEO),Weak measurement of the Goos-Hanchen shift,2013
We investigate experimentally the role of spatial coherence on optical beam shifts. This topic has been the subject of recent theoretical debate. Our data unambiguously resolve the theoretical debate in favour of one specific theory.,"Merano, M; Umbriaco, G; Mistura, G",0,5,2013 CONFERENCE ON LASERS AND ELECTRO-OPTICS (CLEO),Observation of non-specular effects for Gaussian-Schell model light beams,2013
"By leveraging the polarization-dependence of the Bloch-surface-wave-induced giant Goos-Hanchen shift, a novel polarization-modulation-based GH sensing scheme is demonstrated, which can suppress the common mode drift in the setup to ensure better system stability. (C) 2013 Optical Society of America","Wan, YH; Zheng, Z; Li, SN; Dong, SL; Liu, JS",0,10,2013 CONFERENCE ON LASERS AND ELECTRO-OPTICS (CLEO),"Polarization-modulated, Giant Goos-Hanchen Shift Sensing for Common Mode Drift Suppression",2013
The enhanced Goos-Hanchen (GH) shift due to surface plasmons excitation at the metal-dielectric interface is measured using Stokes polarimetry and is found to agree well with theoretical calculation and position-sensitive detector based measurement,"Pidishety, S; Prajapati, C; Viswanathan, NK",0,10,2013 Workshop on Recent Advances in Photonics (WRAP),Measurement of Goos-Hanchen Shift using Polarimetry,2013
"We show that spoof surface plasmons can be used to control the reflection of terahertz radiation at the output facet of a parallel-plate waveguide. Using a periodic groove pattern on the output face, reflectivity approaching 100% can be achieved within a limited spectral range. Unlike the conventional geometry for plasmon-enhanced transmission, this approach enables a unique method for studying the coupling between the guided mode and the surface plasmon through angle-dependent measurement of the plasmon-mediated reflection. A simple model incorporating the surface plasmon coupling to the waveguide mode can adequately explain all of the observed phenomena, including the observed Goos-Hanchen shift in the reflected beam. DOI: 10.1103/PhysRevB.86.241405","Liu, JB; Mendis, R; Mittleman, DM",4,31,PHYSICAL REVIEW B,Designer reflectors using spoof surface plasmons in the terahertz range,2012
"We report the experimental observation of fine interference patterns in a reflection profile of a focused laser beam when it undergoes total internal reflection from a dielectric interface near its critical angle. In addition, we show that similar interference structures routinely appear in the reflection profile when long-range optical surface waves are excited at the plane interface by the focused laser beam. In both cases these interference patterns do not appear at all if the incident beam may be reckoned as a plane wave, that is, when the waist of the focused beam is much larger than the Goos-Hanchen shift or the surface wave propagation length correspondingly. A modified formula for the Goos-Hanchen shift is presented, and it is shown that a maximum value of the shift may reach several tens of microns for wide beams. DOI: 10.1103/PhysRevA.86.063807","Konopsky, VN; Alieva, EV",2,20,PHYSICAL REVIEW A,Observation of fine interference structures at total internal reflection of focused light beams,2012
"We present a comparative analysis of the tunneling times of electromagnetic (EM) waves propagating in isotropic and anisotropic media. First, suitable expressions for the tunneling times in a layered periodic material, with anisotropic properties originating from its structure, are derived, followed by numerical calculations performed for a new type of anisotropic semiconductor metamaterial. In the first case, we have considered a layered structure which contains two differently doped In0.53Ga0.47As semiconductor layers. The second structure under investigation is made of alternately placed layers of doped In0.53Ga0.47As and undoped Al0.48Ga0.52As. The investigation of the dwell time as a function of incident wave frequency has revealed the existence of two peaks, one of which may be interpreted as a consequence of anisotropy, while the other one corresponds to the peak related to the absorption and the group delay. Both of these two peaks are affected by variations of layers' doping densities. Furthermore, at increased incident angles of incoming EM waves, the dwell time peak occurs at the upper boundary of the frequency interval, for which the structure exhibits negative refractive index.","Radovanovic, J; Ilic, I; Belicev, PP; Milanovic, V; Hadzievski, L",1,38,APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,Comparison of tunneling times in isotropic and anisotropic media,2012
"A beam of light, reflected at a planar interface, does not follow perfectly the ray optics prediction. Diffractive corrections lead to beam shifts; the reflected beam is displaced (spatial Goos-Hanchen type shifts) and/or travels in a different direction (angular Imbert-Fedorov type shifts), as compared to geometric optics. How does the degree of spatial coherence of light influence these shifts? We investigate this issue first experimentally and find that the degree of spatial coherence influences the angular beam shifts, while the spatial beam shifts are unaffected.","Loffler, W; Aiello, A; Woerdman, JP",16,36,PHYSICAL REVIEW LETTERS,Spatial Coherence and Optical Beam Shifts,2012
"We investigate the effect of a surface-plasmon resonance on Goos-Hanchen and Imbert-Fedorov spatial and angular shifts in the reflection of a light beam by considering a three-layer system made of glass, gold, and air. We calculate these spatial and angular shifts as functions of the incidence angle showing that they are strongly enhanced in correspondence with the resonant angle. In particular, we find giant spatial and angular Goos-Hanchen shifts for the p-wave light close to the plasmon resonance. We also predict a similar but less pronounced resonant effect on spatial and angular Imbert-Fedorov shifts for both s-wave and p-wave light.","Salasnich, L",13,18,PHYSICAL REVIEW A,Enhancement of four reflection shifts by a three-layer surface-plasmon resonance,2012
"We present a theoretical study on the spin-dependent GoosHanchen (GH) effect in a two-dimensional electron gas modulated by ferromagnetic and Schottky metal (SM) stripes. The GH shifts for spin electron beams across this device are calculated with the help of the stationary phase method. It is shown that the GH shift of spin-up beam is significantly different from that of spin-down beam, i.e., this device shows up a considerable spin polarization effect in GH shifts of electron beams. It also is shown that both magnitude and sign of spin polarization of GH shifts are closely related to the stripe width, the magnetic strength and the gated voltage under SM stripe. These interesting properties not only provide an effective method of spin injection for spintronics application, but also give rise to a tunable spin beam splitter.","Lu, MW; Huang, XH; Zhang, GL; Chen, SY",11,27,PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,Spin beam splitter based on Goos-Hanchen shifts in two-dimensional electron gas modulated by ferromagnetic and Schottky metal stripes,2012
"We have studied the Goos-Hanchen-like (GHL) shifts for massless Dirac electrons passing across a potential barrier in strained graphene. The analytical solutions of the transmission coefficient and the GHL shifts are obtained. The GHL shifts as the function of the strain tensor and direction, the incidence angle and the barrier's width are discussed. We also explore how critical angles change as the strain tensor and incidence electron energy change. Finally, we make a proposal of experimental measurement of the GHL shifts. The study of the GHL shifts will make for applications in graphene-based nano-electronics. (C) 2012 Elsevier B.V. All rights reserved.","Cao, ZZ; Cheng, YF; Li, GQ",3,40,PHYSICA B-CONDENSED MATTER,Effects of strain on Goos-Hanchen-like shifts of graphene,2012
"We predict the splitting of a high-order optical vortex into a constellation of unit vortices, upon total internal reflection of the carrier beam, and analyze the splitting. The reflected vortex constellation generalizes, in a local sense, the familiar longitudinal Goos-Hanchen and transverse Imbert-Fedorov shifts of the centroid of a reflected optical beam. The centroid shift is related to the center of the constellation, whose geometry otherwise depends on higher-order terms in an expansion of the reflection matrix. We derive an approximation of the amplitude around the constellation as a complex analytic polynomial, whose roots are the vortices. Increasing the order of the initial vortex gives an Appell sequence of complex polynomials, which we explain by an analogy with the theory of optical aberration.","Dennis, MR; Gotte, JB",41,35,PHYSICAL REVIEW LETTERS,Topological Aberration of Optical Vortex Beams: Determining Dielectric Interfaces by Optical Singularity Shifts,2012
"The displacements for vertical bar P> polarization (electric field parallel to the plane-of-incidence) and vertical bar S> polarization (electric field perpendicular to the plane-of-incidence) induced by the spin Hall effect of light reflected from a magnetic cobalt thin film have been investigated. The significant differences from those of an air-glass interface are attributed to the special complex permittivity and refractive index of the cobalt film. The real part of the complex refractive index has more influence on displacements for vertical bar P> polarization than for vertical bar S> polarization. There also exists a particular incident angle corresponding to the zero displacement for vertical bar P> polarization. It shifts from 52 degrees to 76 degrees when the real part rises from 1.0 to 4.0. For both vertical bar P> and vertical bar S> polarizations, the maximal displacements rapidly rise with the decrease of the imaginary part. Our simulations further demonstrate that polarization-insensitive spin separations can be realized by choosing the medium with an optimal permeability. (C) 2012 American Institute of Physics. [http://dx.doi.org/10.1063/1.4764008]","Ren, JL; Li, Y; Lin, YD; Qin, Y; Wu, R; Yang, JB; Xiao, YF; Yang, H; Gong, QH",15,21,APPLIED PHYSICS LETTERS,Spin Hall effect of light reflected from a magnetic thin film,2012
"Within the symmetrical metal-cladding waveguide structure, the optical transduction of the E. coli O157:H7 concentration by using the enhanced Goos-Hanchen (GH) shift is demonstrated to be an advantageous alternative over those evanescent wave-based biosensors. The experimental results indicate that the interaction between the analyte and the excited ultrahigh order modes (in the form of the oscillating wave) is the dominant reason leading to ultrahigh sensitivity. On the condition that the intrinsic damping is well-matched with the radiative damping, the giant GH shift (hundreds of micrometers) offers a higher sensitivity than the regular measurement of reflected light intensity. The transduction limit of E. Coli O157:H7 concentration about 100 cfu ml(-1) is achieved. (C) 2012 American Institute of Physics. [http://dx.doi.org/10.1063/1.4759312]","Sun, JJ; Wang, XP; Yin, C; Xiao, PP; Li, HG; Cao, ZQ",9,21,JOURNAL OF APPLIED PHYSICS,Optical transduction of E. Coli O157:H7 concentration by using the enhanced Goos-Hanchen shift,2012
The transmission properties of a one-dimensional photonic crystal containing uniaxial indefinite metamaterial are investigated using the transfer matrix method. It is shown that the photonic bandgaps of the structure strongly depend on the orientation of the optical axis of the indefinite metamaterial. The results show that it is possible to obtain the Brewster condition for both TE and TM polarizations. This condition noticeably affects the profiles of the electromagnetic field inside the one-dimensional periodic structure. (c) 2012 Optical Society of America,"Madani, A; Entezar, SR; Namdar, A; Tajalli, H",4,33,JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS,Influence of the orientation of optical axis on the transmission properties of one-dimensional photonic crystals containing uniaxial indefinite metamaterial,2012
"We investigate experimentally the role of spatial coherence on optical beam shifts. This topic has been the subject of recent theoretical debate. We consider Gaussian Schell-model beams, with different spatial degrees of coherence, reflected at an air-glass interface. We prove that the angular Goos-Hanchen and the angular Imbert-Fedorov effects are affected by the spatial degree of coherence of the incident beam, whereas, the spatial Goos-Hanchen effect does not depend on incoherence. Our data unambiguously resolve the theoretical debate in favor of one specific theory.","Merano, M; Umbriaco, G; Mistura, G",12,21,PHYSICAL REVIEW A,Observation of nonspecular effects for Gaussian Schell-model light beams,2012
"We study the electromagnetic beam reflection from layered structures that include the so-called epsilon-negative and the mu-negative materials, also called single negative materials. We predict that such structures can demonstrate a giant lateral Goos-Hanchen shift of the resonant excitation of surface waves at the interface between the conventional and single negative materials, as well as due to the excitation of leaky modes in the layered structures. Then we replace the conventional layer with a left-handed layer (a material with both epsilon < 0 and mu < 0). We show that the Goos-Hanchen shift can be positive and negative depending on the type of this layer (conventional or LH material), which can support TE or TM surface waves. (C) 2012 Optical Society of America","Talebzadeh, R; Namdar, A",3,25,APPLIED OPTICS,Positively and negatively large Goos-Hanchen lateral displacements from a single negative layered structure,2012
"We investigate how the orbital angular momentum of a paraxial light beam is affected upon reflection at a planar interface. Theoretically, the unavoidable angular spread of the beam leads to orbital angular momentum sidebands, which are found to be already significant for a modest beam spread (0.05). In analogy to the polarization Fresnel coefficients, we develop an analytical theory based upon spatial Fresnel coefficients; this allows a straightforward prediction of the strength of the sidebands. We confirm this by experiment and numerical simulation.","Loffler, W; Aiello, A; Woerdman, JP",18,25,PHYSICAL REVIEW LETTERS,Observation of Orbital Angular Momentum Sidebands due to Optical Reflection,2012
"A prism-coupled metal-dielectric-metal waveguide structure is presented to detect slight variations in wavelength. Strong spatial dispersion ability is exhibited at the guided-mode resonance, which leads to a rapid changing of the reflected beam shift with respect to the light wavelength. It is demonstrated to be an effective way to enlarge the lateral shift of the reflected beam by increasing the guiding layer thickness, which helps to improve the sensitivity of the wavelength-shift monitoring. A wavelength resolution as high as 0.027 pm is achieved in the experiment. (C) 2012 American Institute of Physics. [http://dx.doi.org/10.1063/1.4740258]","Wang, Y; Jiang, XG; Li, Q; Wang, Y; Cao, ZQ",6,22,APPLIED PHYSICS LETTERS,High-resolution monitoring of wavelength shifts utilizing strong spatial dispersion of guided modes,2012
"For total reflection of a pulsed light beam at the interface between vacuum and a negative permittivity medium, the electromagnetic fields and the associated energy-flux patterns in the two media are investigated analytically and numerically. For a TE (transverse electric) polarized pulsed beam with positive Goos-Hanchen shift, energy reflection occurs not only in the second medium but also in the first medium because of interference between the incident and reflected fields. However, for TM (transverse magnetic) polarization where the Goos-Hanchen shift is negative, reflection of energy flux occurs in the first medium (or in front of the interface). At the same time, the energy flux around the interface forms time-dependent loops which absorb energy from the incoming flux in the front edge of the pulse but release energy into the outgoing flux in the later edge of the pulse to ensure energy conservation. Therefore, the so-called causality paradox in TM polarization is caused by the fact that interference between incident and reflected fields in the first medium and energy-flux loops around the interface offer a shorter path for reflection of energy flux (or photons).","Liu, XM; Yang, QF; Zhu, PF; Zhang, YL; Shi, Y",0,32,JOURNAL OF OPTICS,The time-dependent energy-flux pattern in total reflection of a pulsed light beam,2012
"We investigate the Goos-Hanchen (GH) effect of spin electron beams in a magnetic-barrier (MB) nanostructure consisting of antiparallel double delta-MBs, which can be experimentally realized by depositing two ferromagnetic (FM) stripes on top and bottom of the semiconductor heterostructure. GH shifts for spin electron beams across this type of MB nanostructures, is derived exactly, with the help of the stationary phase method. It is shown that GH shifts depend strongly on the spin directions for double delta-MBs with unidentical magnetic strengths, giving rise to a considerable spin polarization effect. It also is shown that spin polarization of GH shifts is closely relative to the separation and magnetic-strength difference of two delta-MBs. These interesting properties may provide an alternative scheme to spin-polarize electrons into the semiconductor, and the devices can serve as tunable spin beam splitters. (C) 2012 Elsevier By. All rights reserved.","Kong, YH; Lu, MW; Chen, SY; Zhang, GL",14,23,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,Lateral shifts of spin electron beams in antiparallel double delta-magnetic-barrier nanostructure,2012
